"Latitude (decimal degrees):	51.507",,,,,,,,,,,,,,,,,
"Longitude (decimal degrees):	0.135",,,,,,,,,,,,,,,,,
"Elevation (m):	3",,,,,,,,,,,,,,,,,
"Radiation database:	PVGIS-SARAH2",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Slope: 40 deg. (optimum),,,,,,,,,,,,,,,,,
Azimuth: -1 deg. (optimum),,,,,,,,,,,,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	150.0",,,,,,,,,,,,,,,,,
"System losses (%):	14.0",,,,,,,,,,,,,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int,,,,,,,,,,,
20130108:1510,4413,49.08,5.84,10.35,3.66,0,,,,,,,,,,,
20130108:1610,0,0,0,10,3.52,0,,,,,,,,,,,
20130108:1710,0,0,0,9.47,3.38,0,,,,,,,,,,,
20130108:1810,0,0,0,9,3.24,0,,,,,,,,,,,
20130108:1910,0,0,0,9,3.31,0,,,,,,,,,,,
20130108:2010,0,0,0,8.89,3.31,0,,,,,,,,,,,
20130108:2110,0,0,0,8.83,3.38,0,,,,,,,,,,,
20130108:2210,0,0,0,8.83,3.38,0,,,,,,,,,,,
20130108:2310,0,0,0,8.8,3.31,0,,,,,,,,,,,
20130109:0010,0,0,0,8.82,3.03,0,,,,,,,,,,,
20130109:0110,0,0,0,8.86,2.76,0,,,,,,,,,,,
20130109:0210,0,0,0,8.91,2.41,0,,,,,,,,,,,
20130109:0310,0,0,0,8.96,2.14,0,,,,,,,,,,,
20130109:0410,0,0,0,9.02,1.79,0,,,,,,,,,,,
20130109:0510,0,0,0,8.99,1.72,0,,,,,,,,,,,
20130109:0610,0,0,0,8.82,1.93,0,,,,,,,,,,,
20130109:0710,0,0,0,8.57,2.21,0,,,,,,,,,,,
20130109:0810,0,0,0,8.19,2.76,0,,,,,,,,,,,
20130109:0910,3303,39.3,6.97,7.72,2.9,0,,,,,,,,,,,
20130109:1010,9207,86.51,12.16,7.38,2.62,0,,,,,,,,,,,
20130109:1110,5326.5,56.23,15.39,7.34,2.28,0,,,,,,,,,,,
20130109:1210,9324,87.84,16.37,7.46,2.21,0,,,,,,,,,,,
20130109:1310,65497.5,511.09,15.02,7.64,2.28,0,,,,,,,,,,,
20130109:1410,61014,476.38,11.46,7.45,2.14,0,,,,,,,,,,,
20130109:1510,39325.5,313.21,6.01,7.08,1.79,0,,,,,,,,,,,
20130109:1610,0,0,0,6.36,1.52,0,,,,,,,,,,,
20130109:1710,0,0,0,5.53,1.52,0,,,,,,,,,,,
20130109:1810,0,0,0,4.75,1.52,0,,,,,,,,,,,
20130109:1910,0,0,0,3.21,1.45,0,,,,,,,,,,,
20130109:2010,0,0,0,2.24,1.31,0,,,,,,,,,,,
20130109:2110,0,0,0,1.46,1.45,0,,,,,,,,,,,
20130109:2210,0,0,0,0.69,1.59,0,,,,,,,,,,,
20130109:2310,0,0,0,0.6,0.97,0,,,,,,,,,,,
20130110:0010,0,0,0,0.86,0.69,0,,,,,,,,,,,
20130110:0110,0,0,0,0.97,0.55,0,,,,,,,,,,,
20130110:0210,0,0,0,0.74,0.55,0,,,,,,,,,,,
20130110:0310,0,0,0,0.74,0.69,0,,,,,,,,,,,
20130110:0410,0,0,0,0.75,0.97,0,,,,,,,,,,,
20130110:0510,0,0,0,0.69,1.24,0,,,,,,,,,,,
20130110:0610,0,0,0,0.73,1.31,0,,,,,,,,,,,
20130110:0710,0,0,0,1.2,1.52,0,,,,,,,,,,,
20130110:0810,0,0,0,1.35,1.17,0,,,,,,,,,,,
20130110:0910,8206.5,76.9,7.06,1.45,1.03,0,,,,,,,,,,,
20130110:1010,16882.5,141.03,12.27,1.78,1.03,0,,,,,,,,,,,
20130110:1110,11274,100.74,15.52,2.4,1.1,0,,,,,,,,,,,
20130110:1210,12517.5,110.27,16.52,3.06,1.17,0,,,,,,,,,,,
20130110:1310,11718,104.48,15.18,3.63,1.24,0,,,,,,,,,,,
20130110:1410,14167.5,122.23,11.63,3.78,1.24,0,,,,,,,,,,,
20130110:1510,4666.5,49.99,6.18,3.78,1.1,0,,,,,,,,,,,
20130110:1610,0,0,0,3.37,1.1,0,,,,,,,,,,,
20130110:1710,0,0,0,2.68,1.24,0,,,,,,,,,,,
20130110:1810,0,0,0,2.01,1.38,0,,,,,,,,,,,
20130110:1910,0,0,0,1.93,1.72,0,,,,,,,,,,,
20130110:2010,0,0,0,1.78,1.93,0,,,,,,,,,,,
20130110:2110,0,0,0,1.62,2.07,0,,,,,,,,,,,
20130110:2210,0,0,0,1.38,2,0,,,,,,,,,,,
20130110:2310,0,0,0,1.24,2.07,0,,,,,,,,,,,
20130111:0010,0,0,0,1.3,2.41,0,,,,,,,,,,,
20130111:0110,0,0,0,1.44,2.34,0,,,,,,,,,,,
20130111:0210,0,0,0,1.57,2.28,0,,,,,,,,,,,
20130111:0310,0,0,0,1.59,2.21,0,,,,,,,,,,,
20130111:0410,0,0,0,1.55,2.28,0,,,,,,,,,,,
20130111:0510,0,0,0,1.47,2.34,0,,,,,,,,,,,
20130111:0610,0,0,0,1.52,2.14,0,,,,,,,,,,,
20130111:0710,0,0,0,1.63,1.86,0,,,,,,,,,,,
20130111:0810,0,0,0,1.43,1.86,0,,,,,,,,,,,
20130111:0910,3495,40.05,7.16,1.69,1.66,0,,,,,,,,,,,
20130111:1010,8698.5,81.16,12.38,2.51,1.79,0,,,,,,,,,,,
20130111:1110,19101,158.28,15.65,3.33,1.59,0,,,,,,,,,,,
20130111:1210,6433.5,64.4,16.67,4.11,1.45,0,,,,,,,,,,,
20130111:1310,3730.5,42.63,15.35,4.97,1.38,0,,,,,,,,,,,
20130111:1410,3831,43.54,11.81,5.32,1.38,0,,,,,,,,,,,
20130111:1510,1479,22.68,6.36,5.25,1.17,0,,,,,,,,,,,
20130111:1610,0,0,0,4.88,0.62,0,,,,,,,,,,,
20130111:1710,0,0,0,4.53,0.21,0,,,,,,,,,,,
20130111:1810,0,0,0,3.42,0.9,0,,,,,,,,,,,
20130111:1910,0,0,0,2.82,1.52,0,,,,,,,,,,,
20130111:2010,0,0,0,2.98,1.38,0,,,,,,,,,,,
20130111:2110,0,0,0,2.78,1.59,0,,,,,,,,,,,
20130111:2210,0,0,0,2.71,1.79,0,,,,,,,,,,,
20130111:2310,0,0,0,2.77,2,0,,,,,,,,,,,
20130112:0010,0,0,0,3,2.34,0,,,,,,,,,,,
20130112:0110,0,0,0,2.94,2.62,0,,,,,,,,,,,
20130112:0210,0,0,0,2.73,2.76,0,,,,,,,,,,,
20130112:0310,0,0,0,2.45,3.1,0,,,,,,,,,,,
20130112:0410,0,0,0,2.2,3.24,0,,,,,,,,,,,
20130112:0510,0,0,0,2.32,3.66,0,,,,,,,,,,,
20130112:0610,0,0,0,2.14,3.86,0,,,,,,,,,,,
20130112:0710,0,0,0,2.16,4.14,0,,,,,,,,,,,
20130112:0810,0,0,0,1.82,4.28,0,,,,,,,,,,,
20130112:0910,6310.5,62.42,7.27,2.04,4.41,0,,,,,,,,,,,
20130112:1010,15735,132.46,12.51,2.42,4,0,,,,,,,,,,,
20130112:1110,1219.5,19.95,15.8,2.82,4.07,0,,,,,,,,,,,
20130112:1210,12658.5,110.94,16.83,3.28,4.62,0,,,,,,,,,,,
20130112:1310,11122.5,99.65,15.52,3.6,5.1,0,,,,,,,,,,,
20130112:1410,33247.5,258.26,11.99,3.57,5.24,0,,,,,,,,,,,
20130112:1510,6673.5,65.62,6.54,3.34,4.83,0,,,,,,,,,,,
20130112:1610,0,0,0,3.09,4.69,0,,,,,,,,,,,
20130112:1710,0,0,0,2.84,4.48,0,,,,,,,,,,,
20130112:1810,0,0,0,2.77,4.28,0,,,,,,,,,,,
20130112:1910,0,0,0,2.84,4,0,,,,,,,,,,,
20130112:2010,0,0,0,2.88,3.79,0,,,,,,,,,,,
20130112:2110,0,0,0,2.69,3.66,0,,,,,,,,,,,
20130112:2210,0,0,0,2.7,3.59,0,,,,,,,,,,,
20130112:2310,0,0,0,2.87,3.59,0,,,,,,,,,,,
20130113:0010,0,0,0,2.77,3.59,0,,,,,,,,,,,
20130113:0110,0,0,0,2.57,3.59,0,,,,,,,,,,,
20130113:0210,0,0,0,2.35,3.72,0,,,,,,,,,,,
20130113:0310,0,0,0,2.1,3.72,0,,,,,,,,,,,
20130113:0410,0,0,0,1.62,3.72,0,,,,,,,,,,,
20130113:0510,0,0,0,1.22,3.72,0,,,,,,,,,,,
20130113:0610,0,0,0,0.98,3.72,0,,,,,,,,,,,
20130113:0710,0,0,0,0.81,3.45,0,,,,,,,,,,,
20130113:0810,0,0,0,0.17,3.31,0,,,,,,,,,,,
20130113:0910,14944.5,125.74,7.38,0.32,3.24,0,,,,,,,,,,,
20130113:1010,2941.5,35.37,12.64,1.06,2.97,0,,,,,,,,,,,
20130113:1110,16587,138.8,15.95,1.93,3.38,0,,,,,,,,,,,
20130113:1210,15996,135,17,2.63,3.79,0,,,,,,,,,,,
20130113:1310,17691,147.12,15.7,2.86,4.14,0,,,,,,,,,,,
20130113:1410,66054,499.65,12.17,2.71,3.66,0,,,,,,,,,,,
20130113:1510,2092.5,28.12,6.73,2.52,3.17,0,,,,,,,,,,,
20130113:1610,0,0,0,2.09,2.48,0,,,,,,,,,,,
20130113:1710,0,0,0,1.56,2.21,0,,,,,,,,,,,
20130113:1810,0,0,0,0.65,2.07,0,,,,,,,,,,,
20130113:1910,0,0,0,-0.37,2.21,0,,,,,,,,,,,
20130113:2010,0,0,0,-0.71,2.07,0,,,,,,,,,,,
20130113:2110,0,0,0,-0.93,2,0,,,,,,,,,,,
20130113:2210,0,0,0,-1.04,1.93,0,,,,,,,,,,,
20130113:2310,0,0,0,-1.37,1.79,0,,,,,,,,,,,
20130114:0010,0,0,0,-1.59,1.59,0,,,,,,,,,,,
20130114:0110,0,0,0,-1.56,1.38,0,,,,,,,,,,,
20130114:0210,0,0,0,-1.62,1.1,0,,,,,,,,,,,
20130114:0310,0,0,0,-1.54,0.9,0,,,,,,,,,,,
20130114:0410,0,0,0,-1.95,1.17,0,,,,,,,,,,,
20130114:0510,0,0,0,-1.85,1.17,0,,,,,,,,,,,
20130114:0610,0,0,0,-1.34,1.1,0,,,,,,,,,,,
20130114:0710,0,0,0,-1.03,1.38,0,,,,,,,,,,,
20130114:0810,0,0,0,-0.81,1.72,0,,,,,,,,,,,
20130114:0910,14008.5,118.7,7.5,-0.67,2.07,0,,,,,,,,,,,
20130114:1010,4840.5,50.79,12.78,-0.01,2.83,0,,,,,,,,,,,
20130114:1110,12331.5,107.57,16.1,0.85,3.38,0,,,,,,,,,,,
20130114:1210,6651,65.3,17.18,1.38,3.72,0,,,,,,,,,,,
20130114:1310,13153.5,113.92,15.89,1.78,3.79,0,,,,,,,,,,,
20130114:1410,2001,27.21,12.36,1.77,2.83,0,,,,,,,,,,,
20130114:1510,3153,37.16,6.92,1.54,2.69,0,,,,,,,,,,,
20130114:1610,0,0,0,1.34,2.34,0,,,,,,,,,,,
20130114:1710,0,0,0,1.28,2.69,0,,,,,,,,,,,
20130114:1810,0,0,0,1.58,3.52,0,,,,,,,,,,,
20130114:1910,0,0,0,2.25,5.17,0,,,,,,,,,,,
20130114:2010,0,0,0,2.3,5.1,0,,,,,,,,,,,
20130114:2110,0,0,0,1.99,5.03,0,,,,,,,,,,,
20130114:2210,0,0,0,1.44,5.03,0,,,,,,,,,,,
20130114:2310,0,0,0,1.16,5.17,0,,,,,,,,,,,
20130115:0010,0,0,0,1.03,5.24,0,,,,,,,,,,,
20130115:0110,0,0,0,0.93,5.31,0,,,,,,,,,,,
20130115:0210,0,0,0,0.72,5.31,0,,,,,,,,,,,
20130115:0310,0,0,0,0.5,5.45,0,,,,,,,,,,,
20130115:0410,0,0,0,0.58,5.45,0,,,,,,,,,,,
20130115:0510,0,0,0,0.65,5.31,0,,,,,,,,,,,
20130115:0610,0,0,0,0.6,4.97,0,,,,,,,,,,,
20130115:0710,0,0,0,-0.36,4.07,0,,,,,,,,,,,
20130115:0810,0,0,0,-0.76,3.72,0,,,,,,,,,,,
20130115:0910,26304,206.21,7.62,-0.65,3.38,0,,,,,,,,,,,
20130115:1010,789,15.42,12.92,0.14,3.59,0,,,,,,,,,,,
20130115:1110,12561,109.29,16.27,1.11,4.34,0,,,,,,,,,,,
20130115:1210,15157.5,128.53,17.36,1.66,3.86,0,,,,,,,,,,,
20130115:1310,11626.5,102.99,16.08,2.19,3.52,0,,,,,,,,,,,
20130115:1410,14101.5,120.78,12.56,2.42,3.45,0,,,,,,,,,,,
20130115:1510,3456,39.8,7.12,2.12,2.76,0,,,,,,,,,,,
20130115:1610,0,0,0,1.31,2.28,0,,,,,,,,,,,
20130115:1710,0,0,0,0.76,2.28,0,,,,,,,,,,,
20130115:1810,0,0,0,0.35,2.28,0,,,,,,,,,,,
20130115:1910,0,0,0,0.44,2.28,0,,,,,,,,,,,
20130115:2010,0,0,0,0.01,2.14,0,,,,,,,,,,,
20130115:2110,0,0,0,-0.65,1.93,0,,,,,,,,,,,
20130115:2210,0,0,0,-1.45,1.79,0,,,,,,,,,,,
20130115:2310,0,0,0,-2.42,1.86,0,,,,,,,,,,,
20130116:0010,0,0,0,-3,1.79,0,,,,,,,,,,,
20130116:0110,0,0,0,-3.15,1.59,0,,,,,,,,,,,
20130116:0210,0,0,0,-3.16,1.59,0,,,,,,,,,,,
20130116:0310,0,0,0,-3.16,1.59,0,,,,,,,,,,,
20130116:0410,0,0,0,-2.92,1.66,0,,,,,,,,,,,
20130116:0510,0,0,0,-3.12,1.86,0,,,,,,,,,,,
20130116:0610,0,0,0,-3.3,1.86,0,,,,,,,,,,,
20130116:0710,0,0,0,-3.12,1.79,0,,,,,,,,,,,
20130116:0810,0,0,0,-2.89,1.72,0,,,,,,,,,,,
20130116:0910,25569,200.58,7.76,-2.15,1.72,0,,,,,,,,,,,
20130116:1010,10431,92.76,13.07,-1.47,1.66,0,,,,,,,,,,,
